Target,Feature,MeanAbsSHAP
res_u0,fr_Ar_N,0.0031660494465613736
res_u0,MorganFP_1274,0.0031569733263459056
res_u0,MorganFP_1738,0.0030561570149147885
res_u0,MorganFP_1004,0.0030286592247430236
res_u0,MorganFP_248,0.003024132654070854
res_u0,MorganFP_1309,0.0029840950523503124
res_u0,VSA_EState2,0.002962140217798151
res_u0,MorganFP_1,0.0029434508739504964
res_u0,MorganFP_974,0.0029428169790189714
res_u0,MorganFP_802,0.0029366308586322703
res_u0,Chi2n,0.002896606254607377
res_u0,SlogP_VSA10,0.0028761635115370156
res_u0,MorganFP_472,0.0028604180940892546
res_u0,fr_NH1,0.00283686156058684
res_u0,MorganFP_1535,0.002775680809863843
res_u0,BCUT2D_MRLOW,0.0027627525550342398
res_u0,SlogP_VSA4,0.0027533286058401244
res_u0,MorganFP_915,0.0027229150340426713
res_u0,MorganFP_523,0.0027147631425759756
res_u0,MorganFP_489,0.0026764537944109178
res_u0,MorganFP_1238,0.002663212740095332
res_u0,SlogP_VSA11,0.002634801312116906
res_u0,BCUT2D_MRHI,0.002619340366203687
res_u0,SMR_VSA4,0.002611488538725098
res_u0,fr_amidine,0.0025618679842446
res_u0,Chi0n,0.0025079911711209206
res_u0,EState_VSA10,0.0024468490256113
res_u0,VSA_EState1,0.002422710629708945
res_u0,BCUT2D_LOGPHI,0.0024121591575731144
res_u0,MinEStateIndex,0.0023938910013478107
res_u0,PEOE_VSA8,0.0023868358252948385
res_u0,MorganFP_88,0.002354070487781428
res_u0,MorganFP_1750,0.0023273137609940023
res_u0,MorganFP_1722,0.0023267468160483988
res_u0,MorganFP_231,0.0023140136813162827
res_u0,MorganFP_674,0.002312546899775043
res_u0,MorganFP_455,0.0023086478843470106
res_u0,fr_methoxy,0.0022810093660373242
res_u0,NumSaturatedHeterocycles,0.0022803282849181415
res_u0,MorganFP_1440,0.002230876225978136
res_u0,MorganFP_1603,0.0022121245950693265
res_u0,NumHeteroatoms,0.0021816175962966326
res_u0,MorganFP_1164,0.0021771647622808813
res_u0,Chi0v,0.0021439618920339855
res_u0,fr_ketone_Topliss,0.002143183052481618
res_u0,MorganFP_713,0.002126887988648377
res_u0,Chi2v,0.0021135261249055474
res_u0,fr_allylic_oxid,0.0021111034486675636
res_u0,MorganFP_74,0.002103250723623205
res_u0,MorganFP_1575,0.00209354449424427
res_u0,MorganFP_380,0.0020582498721778393
res_u0,MorganFP_656,0.002044480125470727
res_u0,MorganFP_1446,0.0020225307000800966
res_u0,MorganFP_650,0.0019957238771310132
res_u0,FpDensityMorgan3,0.001961913568616183
res_u0,MorganFP_370,0.001957089229108533
res_u0,MorganFP_1306,0.0019519131497945637
res_u0,MorganFP_1980,0.0019491541483730543
res_u0,MorganFP_881,0.001943499029846862
res_u0,MorganFP_1128,0.0018865805723471568
res_u0,MorganFP_1257,0.0018847626976203173
res_u0,fr_Al_OH,0.00186629201535834
res_u0,MorganFP_1781,0.001864044003013987
res_u0,NumValenceElectrons,0.001850848148986188
res_u0,MorganFP_624,0.0018434504275210203
res_u0,MorganFP_403,0.0018230218064272776
res_u0,NumAliphaticHeterocycles,0.0018070594841353227
res_u0,fr_aryl_methyl,0.0017199429526226595
res_u0,MorganFP_145,0.001697926596229081
res_u0,MorganFP_242,0.0016929571371405814
res_u0,MorganFP_378,0.0016836694213307056
res_u0,EState_VSA6,0.0016732090219447856
res_u0,MorganFP_1088,0.001673149043112062
res_u0,MorganFP_1171,0.0016475664800964297
res_u0,BCUT2D_MWHI,0.0016135949580423131
res_u0,ExactMolWt,0.0015973610220607953
res_u0,MorganFP_1507,0.0015784188044490294
res_u0,PEOE_VSA13,0.0015713073033257387
res_u0,MorganFP_447,0.0015463047144003213
res_u0,HeavyAtomCount,0.0015232969464777852
res_u0,MorganFP_308,0.0015212934357696213
res_u0,MorganFP_611,0.0015137592411717548
res_u0,fr_pyridine,0.0014756990040186793
res_u0,fr_aniline,0.0014685974459862337
res_u0,MinPartialCharge,0.0014642076899658604
res_u0,MorganFP_301,0.0014365604548365809
res_u0,MorganFP_470,0.0014183196705707815
res_u0,MorganFP_1584,0.0014063641387328971
res_u0,MorganFP_294,0.001402547875070013
res_u0,MolMR,0.00140181920843861
res_u0,MorganFP_222,0.0013859300665790214
res_u0,fr_Ar_OH,0.0013826372342882678
res_u0,MorganFP_1057,0.0013778350470389285
res_u0,MorganFP_283,0.001360230454534758
res_u0,SlogP_VSA8,0.0013551323097854037
res_u0,MorganFP_305,0.0013452863164129668
res_u0,MorganFP_1089,0.001344334122026339
res_u0,MorganFP_1083,0.0013192805892211083
res_u0,MorganFP_1881,0.0013083291777875275
res_u0,fr_Ndealkylation2,0.0013027143981307744
res_u0,PEOE_VSA14,0.0013007520636665504
res_u0,fr_Nhpyrrole,0.0012699669313733467
res_u0,fr_ketone,0.0012670052553507957
res_u0,MorganFP_497,0.0012302119828818832
res_u0,MorganFP_369,0.0012099993709125557
res_u0,MorganFP_941,0.001188109719339991
res_u0,HeavyAtomMolWt,0.0011829849229047795
res_u0,MorganFP_787,0.0011827192918863146
res_u0,MorganFP_2000,0.0011805745787278282
res_u0,MorganFP_293,0.0011733730756823206
res_u0,fr_imidazole,0.0011571144913323224
res_u0,MinAbsEStateIndex,0.001156269637517653
res_u0,MorganFP_1256,0.0011517439966555684
res_u0,MolWt,0.0011486743268959002
res_u0,MorganFP_1159,0.001142375099414494
res_u0,TPSA,0.0011351253095849643
res_u0,fr_NH0,0.0011265866361154621
res_u0,EState_VSA4,0.0011202986564885578
res_u0,MorganFP_588,0.0011164243220464414
res_u0,MorganFP_884,0.001112385798507603
